date,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
1/2/2010 0:00,129,-16,-4,1020,SE,1.79,0,0
1/2/2010 1:00,148,-15,-4,1020,SE,2.68,0,0
1/2/2010 2:00,159,-11,-5,1021,SE,3.57,0,0
1/2/2010 3:00,181,-7,-5,1022,SE,5.36,1,0
1/2/2010 4:00,138,-7,-5,1022,SE,6.25,2,0
1/2/2010 5:00,109,-7,-6,1022,SE,7.14,3,0
1/2/2010 6:00,105,-7,-6,1023,SE,8.93,4,0
1/2/2010 7:00,124,-7,-5,1024,SE,10.72,0,0
1/2/2010 8:00,120,-8,-6,1024,SE,12.51,0,0
1/2/2010 9:00,132,-7,-5,1025,SE,14.3,0,0
1/2/2010 10:00,140,-7,-5,1026,SE,17.43,1,0
1/2/2010 11:00,152,-8,-5,1026,SE,20.56,0,0
1/2/2010 12:00,148,-8,-5,1026,SE,23.69,0,0
1/2/2010 13:00,164,-8,-5,1025,SE,27.71,0,0
1/2/2010 14:00,158,-9,-5,1025,SE,31.73,0,0
1/2/2010 15:00,154,-9,-5,1025,SE,35.75,0,0
1/2/2010 16:00,159,-9,-5,1026,SE,37.54,0,0
1/2/2010 17:00,164,-8,-5,1027,SE,39.33,0,0
1/2/2010 18:00,170,-8,-5,1027,SE,42.46,0,0
1/2/2010 19:00,149,-8,-5,1028,SE,44.25,0,0
1/2/2010 20:00,154,-7,-5,1028,SE,46.04,0,0
1/2/2010 21:00,164,-7,-5,1027,SE,49.17,1,0
1/2/2010 22:00,156,-8,-6,1028,SE,52.3,2,0
1/2/2010 23:00,126,-8,-6,1027,SE,55.43,3,0
1/3/2010 0:00,90,-7,-6,1027,SE,58.56,4,0
1/3/2010 1:00,63,-8,-6,1026,SE,61.69,5,0
1/3/2010 2:00,65,-8,-7,1026,SE,65.71,6,0
1/3/2010 3:00,55,-8,-7,1025,SE,68.84,7,0
1/3/2010 4:00,65,-8,-7,1024,SE,72.86,8,0
1/3/2010 5:00,83,-9,-8,1024,SE,76.88,9,0
1/3/2010 6:00,91,-10,-8,1024,SE,80.9,10,0
1/3/2010 7:00,86,-10,-9,1024,SE,84.92,11,0
1/3/2010 8:00,82,-10,-9,1024,SE,89.84,12,0
1/3/2010 9:00,86,-11,-9,1023,SE,93.86,13,0
1/3/2010 10:00,78,-11,-9,1023,SE,97.88,15,0
1/3/2010 11:00,98,-11,-9,1022,SE,102.8,16,0
1/3/2010 12:00,107,-11,-9,1021,SE,105.93,17,0
1/3/2010 13:00,90,-11,-9,1020,SE,111.74,19,0
1/3/2010 14:00,96,-11,-9,1020,SE,116.66,20,0
1/3/2010 15:00,95,-11,-9,1020,SE,121.58,21,0
1/3/2010 16:00,86,-11,-9,1020,SE,124.71,22,0
1/3/2010 17:00,70,-11,-9,1020,SE,127.84,23,0
1/3/2010 18:00,61,-11,-9,1021,cv,0.89,24,0
1/3/2010 19:00,53,-11,-9,1022,cv,1.78,25,0
1/3/2010 20:00,71,-10,-9,1022,NW,4.02,26,0
