INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Performer1_1.h5', '0 Helpdesk', '1', '1', 'Performer', '1', '0 Helpdesk_predict_Performer_1feature_NameToInt.pickle', '0 Helpdesk_predict_Performer_1feature_IntToName.pickle', '0.6084332151137436');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Performer2_1.h5', '0 Helpdesk', '2', '1', 'Performer', '1', '0 Helpdesk_predict_Performer_1feature_NameToInt.pickle', '0 Helpdesk_predict_Performer_1feature_IntToName.pickle', '0.6254391881241623');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Performer2_2.h5', '0 Helpdesk', '2', '2', 'Performer', '1', '0 Helpdesk_predict_Performer_1feature_NameToInt.pickle', '0 Helpdesk_predict_Performer_1feature_IntToName.pickle', '0.6002716188988906');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Performer3_1.h5', '0 Helpdesk', '3', '1', 'Performer', '1', '0 Helpdesk_predict_Performer_1feature_NameToInt.pickle', '0 Helpdesk_predict_Performer_1feature_IntToName.pickle', '0.657241082972779');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Performer3_2.h5', '0 Helpdesk', '3', '2', 'Performer', '1', '0 Helpdesk_predict_Performer_1feature_NameToInt.pickle', '0 Helpdesk_predict_Performer_1feature_IntToName.pickle', '0.637982153664699');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Performer4_1.h5', '0 Helpdesk', '4', '1', 'Performer', '1', '0 Helpdesk_predict_Performer_1feature_NameToInt.pickle', '0 Helpdesk_predict_Performer_1feature_IntToName.pickle', '0.6545164841734303');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Performer4_2.h5', '0 Helpdesk', '4', '2', 'Performer', '1', '0 Helpdesk_predict_Performer_1feature_NameToInt.pickle', '0 Helpdesk_predict_Performer_1feature_IntToName.pickle', '0.6437005399006824');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Performer5_1.h5', '0 Helpdesk', '5', '1', 'Performer', '1', '0 Helpdesk_predict_Performer_1feature_NameToInt.pickle', '0 Helpdesk_predict_Performer_1feature_IntToName.pickle', '0.6542788969990717');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Performer5_2.h5', '0 Helpdesk', '5', '2', 'Performer', '1', '0 Helpdesk_predict_Performer_1feature_NameToInt.pickle', '0 Helpdesk_predict_Performer_1feature_IntToName.pickle', '0.5622780616772739');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Activity1_1.h5', '0 Helpdesk', '1', '1', 'Activity', '1', '0 Helpdesk_predict_Activity_1feature_NameToInt.pickle', '0 Helpdesk_predict_Activity_1feature_IntToName.pickle', '0.7599243982668898');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Activity2_1.h5', '0 Helpdesk', '2', '1', 'Activity', '1', '0 Helpdesk_predict_Activity_1feature_NameToInt.pickle', '0 Helpdesk_predict_Activity_1feature_IntToName.pickle', '0.7634384980633232');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Activity2_2.h5', '0 Helpdesk', '2', '2', 'Activity', '1', '0 Helpdesk_predict_Activity_1feature_NameToInt.pickle', '0 Helpdesk_predict_Activity_1feature_IntToName.pickle', '0.7468522036458579');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Activity3_1.h5', '0 Helpdesk', '3', '1', 'Activity', '1', '0 Helpdesk_predict_Activity_1feature_NameToInt.pickle', '0 Helpdesk_predict_Activity_1feature_IntToName.pickle', '0.7628564040687258');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Activity3_2.h5', '0 Helpdesk', '3', '2', 'Activity', '1', '0 Helpdesk_predict_Activity_1feature_NameToInt.pickle', '0 Helpdesk_predict_Activity_1feature_IntToName.pickle', '0.742153202269267');
INSERT INTO model(id, name, stepin, stepout, predicttype, feature, name_to_int_set, int_to_name_set, val_accuracy) VALUES ('0 Helpdesk1feature_Activity4_1.h5', '0 Helpdesk', '4', '1', 'Activity', '1', '0 Helpdesk_predict_Activity_1feature_NameToInt.pickle', '0 Helpdesk_predict_Activity_1feature_IntToName.pickle', '0.7684683229501087');
